投稿日,タイトル,再生数
2021-08-11,【衝撃映像多数】自作の乗り物で雪山から早く下りたやつが勝ち選手権！！！,4146262
2021-08-10,【目指せ億】一週間後にゲームスコアの「数字を大きく」した奴が勝ち対決！！！,3559157
2021-08-08,【デタラメ】オリジナル性格診断で初対面でも性格丸裸にしてやるぜ！！！！！,2065629
2021-08-07,【真面目】新サービス提案するから金をくれ！UUUM鎌田社長にガチプレゼン対決！,2041967
2021-08-06,【採点不可】おバカが今の自分の知識だけで学力テスト作ったらどうなっちゃうの？,3327407
2021-08-05,【最先端】お題を送信すると即座に大喜利するAIだと！？人間様に敵うと思っているのかああぁぁ！！！,2196261
2021-08-04,【多種多様】あの有名人のサイン、どんなサイン！？,1935274
2021-08-03,【コンセント禁止】iPhone、手動の充電機だけで何日生活できるのか！？,3458506
2021-08-01,【知らん】興味ないランキングでもみんなのテンション次第でなんとかなる！？第一回！知るかランキング！！！！！！,2604853
2021-07-31,【おいしいかも】｢屁｣を食ってみたい男たちの挑戦,2288389
2021-07-30,【文理対決】無人島で宝を探してこいと言われました…,4219269
2021-07-29,【奇跡無し】漫画のようなレアなシチュエーションを街に繰り出して探してみようよ！！,1752897
2021-07-28,#5 リレー形式で夏休みの宿題RTA！,2178094
2021-07-28,#4 リレー形式で夏休みの宿題RTA！,2418677
2021-07-28,【FK対決】プロの指導vs素人のゴリ押しってどっちが強えの！？,2802342
2021-07-28,#3 リレー形式で夏休みの宿題RTA！,3066834
2021-07-27,#2 リレー形式で夏休みの宿題RTA！,3189668
2021-07-26,【開会式】リレー形式で夏休みの宿題RTA ！,1775228
2021-07-25,【シバサス様次第】自分で撮った写真をカードにしてデュエル！ひゅーぎ王！,4961399
2021-07-24,【脳トレ】アハ体験は３次元の時代に！脳汁垂れ流しアハ空間！！！,2121707
2021-07-23,【上空3000m】スカイダイビング中に手首についた香りを当てろ！！！！！,2103547
2021-07-22,"【目指せBTS】ダンス素人が""Butter""を１時間の練習だけで歌って踊ってみた！？！？",7218611
2021-07-21,【ゆるチャレ】この絵、｢うまい順｣に並べ替えてごらんなさい！,3008792
2021-07-20,【街頭インタビュー】需要を考えろ！視聴者が自分としたいことビンゴ！！,2400061
2021-07-18,"【驚愕の展開】第３回！寝たら""即帰宅""の旅！Part６最終回！！！",4227928
2021-07-17,"【地獄の２日目】第３回！寝たら""即帰宅""の旅！Part５",4369362
2021-07-16,"【全員泥酔】第３回！寝たら""即帰宅""の旅！Part４",4672642
2021-07-15,"【大宴会開始】第３回！寝たら""即帰宅""の旅！Part３",5257183
2021-07-14,"【夜が始まる】第３回！寝たら""即帰宅""の旅！Part２",4721336
2021-07-13,"【伝説が帰ってきた】第３回！寝たら""即帰宅""の旅！Part１",6806698
2021-07-11,【暴飲暴食】足ツボって本当にその体の部位が調子悪いと痛くなるの？？？,3699286
2021-07-10,【萌】答えられるまでにめっちゃ時間かかる早押しクイズ大会！,3870364
2021-07-09,【全７種】この練習器具、何のスポーツのどんな練習をする物！？,1948937
2021-07-08,【無限購入】消費者理解を深めよう！このお店で一番売れている商品はど〜れ！？,2699954
2021-07-07,【全６作品】どれが誰の４コマか当てろ！利き４コマ漫画！,1788460
2021-07-06,【企画放棄？】制限時間内にとにかく階段を上れ上れ！足腰増強対決！,3163323
2021-07-04,"【四季】誰についてのクイズか不明だけど１番よく知るのは誰？第１回""誰か""王！",3293560
2021-07-03,【億】どんなことでもギャンブルにできるシステム｢ムシシックス｣をテストします,3671331
2021-07-02,【尻】捉え方は自由！！そこからそんなに！？選手権,1870054
2021-07-01,【見てられない】順番間違えた！リアクションを先に撮ってしまったので、それに合う動画を撮ってきて！！！！！,2027663
2021-06-30,"【ネットの底】需要を無視した""尖りYouTuber""が鋭角過ぎるのでクイズにしました！",2406407
2021-06-29,【対照実験】美女が隣にいたら｢わんこそば｣の記録は飛躍的に伸びるはずです,5032980
2021-06-27,【汚注意】｢臭い空気｣って全部吸い切れば無臭になるのでは？,1940634
2021-06-26,【エンタメ革命】予測不能ナルシズム！！第一回 ないとークイズ！！！！【おるたなchannel】,4265755
2021-06-25,【大型企画】第一回 スワンボートレース〜東海オンエア杯〜,2422551
2021-06-24,【お宝発見】てつやが中２の時の国語の教科書がラクガキだらけでアツい。,2580371
2021-06-23,【地獄ネタ会議】プロレス技と神経衰弱組み合わせたら地獄だった,2148244
2021-06-22,【第２回】エンディング動画作り選手権！,3922638
2021-06-20,【長すぎ】ゴルフのパター世界記録が34mらしいので我々紳士軍団で超えてやるんじゃい！！！！！,2407902
2021-06-19,【恥】IT企業にガチ入社面接してもらったら誰が優秀と評価されるの？,2898335
2021-06-18,虫眼鏡、茶色卒業！？メンバーカラー変更を賭けた炎の５試練！！！,3341168
2021-06-17,【全４問】食って回答！このゲテモノ料理、実在する！？もしくは偽物！？,3035460
2021-06-16,【地獄ネタ会議】たくさん釣るマンvs絶対食い切るマン 船上バトル！,2334998
2021-06-15,【火起こし】昔のアナログ機械を使いこなし現代の便利さに気づこう！！！,3049117
2021-06-13,【苦悶】俺たちまだお互いの知らないことあるよね！？自分トリビア発表会！！【絶対観て】,3755858
2021-06-12,【地獄】罪を吐かせろ！！第一回 J-1グランプリ！！！！,1952626
2021-06-11,【成金】東海オンエアが１ヶ月ガチで節約したら生活費はいくらになるの！？,7462357
2021-06-10,"【大罪】未知の料理""サワークラフト""を想像だけで作ってみたら怖い事が起こりました",2840924
2021-06-09,【高濃度】くじで出た数字の｢アルコール濃度｣のお酒を作って飲めたら終了！,5072728
2021-06-08,【ドッキリ】としみつに重すぎる罰ゲームが理不尽に降りかかったらどうなる！？,4175237
2021-06-06,【マリオたちの苦悩】みんなの知らないゲームの裏側に密着してみた,3905980
2021-06-05,【ポケモンスナップ】ヤバすぎるポケモンたちが生息する場所があるらしいので調査します！！【ミカーワのすがた】,1981117
2021-06-04,"【卸売り業者】自宅にある物を売って""1万円""に近いヤツが勝ちバトル！",2756139
2021-06-03,【てつやは腎炎】こんなまとめいらんだろ！！東海オンエアまとめイントロクイズ！！！,2987537
2021-06-02,【罰革命】｢すぐ終わるけど面白い｣罰ゲームを考案しよう！,3061840
2021-06-01,"【2,000万再生確定】じゃんけん負けたら罰ゲームドライブ！！！",4226938
2021-05-30,【一触即発！？】ハンバーガー食う時、まとめ食いorバラバラ食い、どっちが早いかケジメつけまい！！！！！,4007034
2021-05-29,YouTuberの書籍穴埋めクイズでこの業界の心構えを学ぼう！,2210299
2021-05-28,【60歳差の常識】予測不能!?おばあちゃんのカバンの中身当てクイズ！！！,4011023
2021-05-27,【Global勘違い】なんか司会者が英語で企画説明してくるけどなんとかしようぜ！！！,1889541
2021-05-26,｢残り体力｣を可視化できる装置を使って疲れまくれ！回復しまくれ！,4113487
2021-05-25,【天然物使用】息...いや、屁を揃えて！３人同時おならチャレンジ！！！,2238371
2021-05-23,【負けたら一週間】20代後半だからって舐めんなよ！動体視力クイズ！！！,2361253
2021-05-22,【ホークアイ】面白いか分かりませんが一度やってみたいスポーツがあるのでやってみます！！！！！,1707250
2021-05-21,【またガチの人】もういい加減｢カバディ｣のルール覚えようぜ！,1756462
2021-05-20,"【敗けたら餓死】お金ではなく""３日分の飯""を賭けてギャンブル...！そして破綻っ...！",6248806
2021-05-19,【迷惑】リアルなど時代遅れ！インターネットの中でかくれんぼ！,2563173
2021-05-18,【正統派卒業】ぶっ飛び編集で誰も理解できない領域に連れていきます【超頑張った】,3387259
2021-05-16,【サイヤ人襲来！？】これが令和の破壊王！！！第一回！キーボードクラッシャー選手権！！！！！,2352702
2021-05-15,プレミア公開の曲、名曲に改造して２分を有意義に過ごせるようにしました！！！,2542839
2021-05-14,【雅】｢百人一首｣が難しすぎるのでわかりやすい現代版を作りました,2848942
2021-05-13,【根性耐久】てつやの尻尾を最後まで掴んでいた奴が勝ちサバイバル！【賞金あり】,5381880
2021-05-12,【微笑み】みんなの子どもの頃の絵を持ち寄ってクイズをしよう！！！,1929250
2021-05-11,【豪華】視聴者の知らない「東海オンエアあるある」を作ったら衝撃的な映像になってしまった,8617618
2021-05-10,検索結果数［１件］になるまで終われないチャレンジ！変な言葉で検索だァ！,3159506
2021-05-09,「実の母に感謝」は恥ずかしいから友達の母親に母の日して練習しよう！,3736825
2021-05-08,【硬式デビュー】半年ぶりに川上憲伸さんと野球！！岡崎市民球場でホームランに挑戦するもまさかの事態が発覚！？【旅ロケもあるよ】,1790809
2021-05-07,【動画外】東海オンエア６人で｢遊びたいこと｣プレゼン大会！,3630833
2021-05-05,【ドッキリ】動画撮影中に｢同じこと何回も言う奴｣いたらちゃんと指摘できる？,2570649
2021-05-04,【ポーチドエッグ】卵１個の料理なら作り方知らなくてもいつかはできるっしょ！！！,4288706
2021-05-03,これ好きなの俺だけじゃね？を発表してオリジナリティを高めよう！！！,3190929
2021-05-02,【勇気】恐怖心のない男｢りょう｣ならバック転１発でできる説,3856052
2021-05-01,【プロ意識?】やりたくない事も、時には笑顔でやらなきゃいけない時だってあるんです。,2624497
2021-04-30,【嘘つけ】超能力者がかくれんぼで本気出したら最強なの？,4487236
2021-04-29,【考えたら負け】言葉をアホな対義語に変換しろ！答えはロボが教えてくれるよ！,2741968
2021-04-28,【15秒】モンハンの肉焼きセットで本当にあの大きさの肉焼けるの？,4890951
2021-04-25,【クソコント】車の椅子の下には異世界が広がっているらしい・・・,1375795
2021-04-24,【極寒の南国】場所は北海道、内容は沖縄旅行なら２倍楽しいんじゃね！？,3215273
2021-04-23,"【最低の戦い】外で10分以内に""無茶なお題""の写真を撮ってこい！ﾊﾟｯｼｬｼｬ",2259379
2021-04-22,【一週間に一問】この煮込み料理何を煮込んだかお前ら当てれんの？,3950860
2021-04-21,【コスパ◎】大食い中に急に｢高級食材｣が紛れ込んでも気づかなくね？,3941037
2021-04-20,【ガバガバ判定】「〇〇をつく」という言葉をとにかく沢山集めて提出して欲しい人が現れました。,1997099
2021-04-18,【異種格闘ゴルフ】ゴルフvs野球vsサッカーvsラグビー！！！後編,2977078
2021-04-17,【異種格闘ゴルフ】ゴルフvs野球vsサッカーvsラグビー！！！前編,3367341
2021-04-16,"【無理してる】打ち合わせ無しでプリクラの""ポーズ被り""を目指すもん♡",2717304
2021-04-15,【異形】男なら｢女の子の小さな変化｣に気づいて当然じゃろがい！ 【後編】,2062062
2021-04-14,【女子募集】男なら｢女の子の小さな変化｣に気づいて当然じゃろがい！ 【前編】,2766719
2021-04-13,【vs風神】三人連続バー当てチャレンジで東海オンエアは更なる新境地へ！！！,1934676
2021-04-12,【キモ作誕生】街の看板を繋げてお題に沿った犯行声明文を作ってこい！チャリで！,2681297
2021-04-11,【裏スジ探検隊】君たちが書いたコメントは僕たちが操っていました。,2642292
2021-04-10,【研究】｢食べるもの｣を完全に統一すれば｢出るもの｣も同じ重さになるよね？,3288450
2021-04-08,【生か死か】各々でスリルを味わえ！！チキンレース選手権！！！,2308274
2021-04-07,【国語】スケベな言葉を言い換えた｢隠語｣に詳しくなって紳士になっちゃおう！,3658964
2021-04-06,【メンタル】食品に入った悪口で相手を蹴散らせ！食品罵倒対決！！！,3139063
2021-04-04,【共感性羞恥】お前ら！！！覚えたての言葉得意げに使いやがって！！！俺たちが終わりにしてやる！！！,2457845
2021-04-03,【ガチ小学生に調査】全国でバズりまくる超人気レクを考えよう！！！,2231061
2021-04-02,【任侠散歩#2】〜愛と仁義とジンギスカン〜,2250280
2021-04-01,【100戦✖︎３種目】くじで指定された勝率の競技を持ってこい！,4137462
2021-03-31,【高難度】YouTuber必須能力！どれがテイク２か見極めろ！,2619850
2021-03-30,【エリマネ激怒】目指せ優秀な中間管理職！支店長選手権！！！,3255361
2021-03-28,【カンニング禁止】リレー形式で｢エヴァ初号機｣作ったらまさかの結果に！？,2747970
2021-03-27,【ゴミだらけ】東海オンエアのサムネの文字当てクイズ！！！【こんなんじゃいかん】,3947722
2021-03-26,【無駄編集有り】１ヶ月左手で生活したら左利きになるのか！？,3430499
2021-03-25,【過去最長素材】好きなことだったら何時間続けられるの？,10050376
2021-03-24,【感動】フィギュアスケート未経験の男が、２ヶ月間本気でレッスン受けたら、ショートプログラム何点取れるの！？【後編】,2307102
2021-03-23,フィギュアスケート未経験の男が、２ヶ月間本気でレッスン受けたら、ショートプログラム何点取れるの！？【前編】,2561086
2021-03-21,「自分たちに有利なテスト」を用意して「虫眼鏡５連続ドベ」が見たい！！！,7122052
2021-03-20,【ゾーブ】雪山で大転がり！！文理対抗！巨大人間ボウリング対決！！！！！【歯は黄色い】,2531052
2021-03-19,リサイタルズ - ｢Dejavina (Japanese ver.)｣［Official Music Video］,10976887
2021-03-18,【文理対抗】ドラマの中に作品のパロディが20個以上隠れています。指摘できるか！？,7033040
2021-03-17,【申告制ご褒美】アーチェリーを練習して大人の的当て大会！,2595410
2021-03-16,【チャンス】世界初挑戦のバカ競技を考えて世界記録保持者になろう！！！,2722867
2021-03-14,【大真面目集団】もっと出来た！？第一回！！ツッコミ反省会！！！！,2146797
2021-03-13,【3秒で】架空のネタの｢導入トーク｣が1番上手なのは誰だ！,2590614
2021-03-12,【バカクイズ】この人、中尾彬？それとも中尾諦めない？,2374301
2021-03-11,【底力】良いネタ思いつくまで地獄に監禁！地獄ネタ会議！！,4564750
2021-03-10,【根性禁止】｢程度を表すことば｣に従って上手に手を抜く練習をしよう！,4942847
2021-03-09,【ニンテンドー64】少年時代に最強だった俺たちは本当に最強だったのか！？,3018517
2021-03-07,"【解ければIQ200】指定の""ツッコミ""を引き出す""ボケムービー""作って来いYA!!",2866979
2021-03-06,【火傷確定検証】人が食べられる熱さの限界って何℃なの！？【まさかの100℃超え？】,3901803
2021-03-05,【イチロー】背面キャッチ成功するまで終われません！！！！！【東海オンエアーズ】,2368712
2021-03-04,【外したら買取り】2020年の購入品３つの中から買って後悔した物を当てろ！！！,2488981
2021-03-03,【おもしろすぎNG】ランダムに割り振られた番号順になるよう｢おもしろさ｣を調節せよ！,3255132
2021-03-02,"普通のドラマを""セリフ""も""アクション""も【逆再生】で再現チャレンジ！！！",5892922
2021-02-28,【文理対抗】ゲームリリースを賭けて勝負！！クソゲー作り対決！！！,3541736
2021-02-27,【イートウルフ】1人だけ別の料理を食った奴は誰だ！？新感覚人狼ゲーム発見！,4797467
2021-02-27,#5 最終章【打ち合わせなし】リレー形式で48時間耐久ウォーキング！,4729715
2021-02-26,#4【打ち合わせなし】リレー形式で48時間耐久ウォーキング！,3276131
2021-02-26,#3【打ち合わせなし】リレー形式で48時間耐久ウォーキング！,4619506
2021-02-26,【職質】としみつ警官の職務質問を上手くかわせ！！激録！オンエア警察24時！！,2191771
2021-02-26,#2【打ち合わせなし】リレー形式で48時間耐久ウォーキング！,4438301
2021-02-25,#1【打ち合わせなし】リレー形式で48時間耐久ウォーキング！,5318126
2021-02-24,【難易度操作】15％の確率で成功するミッションをメンバーに与えよ！,2895278
2021-02-23,【奇跡の似具合】超絶イケメン&美女に大変身！！モノマネメイククイズ！！！,2974136
2021-02-21,【好勝負確定】点を決めたらその得点分重りがついちゃうバスケ！,2811331
2021-02-20,"【ゴルゴ】mission:［４人中、""狙った１人だけ""を笑わせろ。］",4024068
2021-02-19,【としみつ覚醒】衝撃映像を簡単に作れちゃう！？to be continued対決！！！,6430733
2021-02-18,【ほぼ完全再現】第一回！！これ誰のインスタの投稿でしょう！？,1942683
2021-02-17,【いい気持ち】メンバーの｢今までで1番おもしろい瞬間｣ならぴったり一致するはず！,6641811
2021-02-16,【塊魂ゲーム】１週間ごとに大きくなる物体を最後まで持ち歩くことができるのは誰！？,4502617
2021-02-14,"【お題:マッチョ】アニメキャラのコスプレをしてきて６人中""２人被り""を目指せ！",4643711
2021-02-13,【口の中にカメラマン】これどうやって撮影したの！？アイデア写真選手権！！！,2432201
2021-02-12,【不快が多すぎる】食材をドラフト指名して、虫眼鏡に美味しいうどんを提供しよう！！！！,4315584
2021-02-11,【泥沼化】バレずに高額商品を購入せよ！お買いものダウト！,6308162
2021-02-10,【地獄の二週間】独学の太りvsプロの教える太り、どっちが太るの！？,5589354
2021-02-09,【地獄の二週間】独学の痩せvsプロの教える痩せ、どっちが痩せるの！？,3152972
2021-02-07,"【笑ったら成仏】笑顔を失った男４人。手作り""福笑い""で笑顔を取り戻せ！",3665900
2021-02-06,【積雪量世界一】極寒ウォーターサバイバルゲーム！！サムクナイ！！！,4741174
2021-02-05,【大人ごっこ】おい！高級赤ワインの味、俺らにわかんのかい！！！！ききワイン会！！！！！【泥酔ギリ無し】,2818860
2021-02-04,【真のメンバー理解】これしばゆーはボケる？ボケない？,4639925
2021-02-03,【トリビアの泉】いろいろなYouTuberからもらったトリビアを発表します！！！,3078831
2021-02-02,お菓子のパッケージを◯◯◯に魔改造！！！究極のアート対決！！！,2653467
2021-01-31,【結婚不可避】男なら｢今まで見たことないサプライズ｣で彼女にプレゼント渡してみぃや！,2739348
2021-01-30,【語源調査】道草食いながら油売ってみた【言葉の成り立ち】,2182398
2021-01-29,【ルールは夏男】真冬に夏らしいものを沢山見つけてくる対決したんだけど！！！！！！,3618256
2021-01-28,【パパへの準備】赤ちゃんを正しくあやすのだ！イクメン父親力検定！,2792972
2021-01-27,｢テレフォン｣だけで賞金を獲得せよ！クイズ！ミリミリオンエア！,3017424
2021-01-26,【珍しすぎる苗字】この戦いで負けた奴は「日本に10人しかいないある人」を探し出さなければなりません。,4428401
2021-01-24,【チャップリンのやつ】文理対抗｢無声映画｣対決！,2283823
2021-01-23,缶蹴りは鬼が不利すぎるから逃げる奴らにお酒飲ませてバランスを取ろう！,6242997
2021-01-22,【チームとは極】高級食材なんて高すぎて買えないヨ！！安い食材使って僕らで代用しYO！！！！,3128395
2021-01-21,【ヤバ過去発覚】自分の弟（妹）の回答を当てろ！利き兄弟！,5476931
2021-01-20,【前衛的】本物のパリコレファッションはどれ！？,2784012
2021-01-19,【大盛り上がり】このお題、俺はこの中で何番目！？自己評価の順位被ったら負けゲーム！！！,7980153
2021-01-17,【人権皆無】ペアが揃ったら｢カードに書いてあること｣が執行されるスリリングババ抜き…,7755555
2021-01-16,？！かのな物い良に当本は「に逆」るめ勧の員店【証検てし入購】,2892733
