投稿日,タイトル,再生数
2021-07-02,【ランキング】ヒカキンが選ぶうまいレトルト食品TOP３！【下積み時代食べたてやつ】,1242996
2021-07-02,ヒカキンビートボックス【32歳の重み】#Shorts,3644601
2021-06-29,５年ぶりにチャンネル登録者日本一だと思ったら半日ではじめしゃちょーに抜かれましたwww,6082260
2021-06-26,【お金無限】クレーンゲームのヒカキン&セイキン限定ミルキー全種類とれるまで帰れません！,2909912
2021-06-25,【落札総額2000万円】BTS - Dynamite MV衣装のダンボール開封してみた！【前編】,2412349
2021-06-24,超激レアなプレミアPS5を購入成功したので開封します。。。【ヒカキンTV】,1230270
2021-06-22,油5000mℓで巨大バター1kg揚げたらうますぎた！【巨大揚げバター】【業務用マシン】,7960492
2021-06-20,【120袋】Bチューバーマンチョコ全種類コンプリートするまで開封！【YouTuber】【ビックリマンチョコ】,2656990
2021-06-18,【飯テロ】たこ焼き機で超巨大肉巻きおにぎり作ったらもはや爆弾www【ヒカキンTV】,2577299
2021-06-16,レッドブル公式から謎の超巨大な箱届いたので開封！【RedBull】,2346321
2021-06-14,超小さい箱に入っちゃったまるお  #Shorts,3893678
2021-06-13,4000ℓのスライムプールに色んなもの沈めまくったら大変なことにw【100万円企画】,4406005
2021-06-11,【Tiktokで話題】熱々キムチーズチャーハンをホットプレートで作ったらチーズの海www【キムチチーズチャーハン】,2064148
2021-06-08,セイキンの闇を兄弟として謝罪させてください。,2243899
2021-06-05,【オレらの時代到来】ふ〜せんの実「キン一族ボトル」発売！激レア当たりボトル当てるまで開封しまくるwww,3217204
2021-06-04,獄激辛ペヤング大量の高級乳製品と一緒に食べれば完食余裕説！【ペヤング超大盛やきそばハーフ＆ハーフＷ獄激辛】,3444480
2021-06-02,新居???,2363147
2021-05-31,まるおが まさかの… #Shorts,3735897
2021-05-30,【放送事故】はじめしゃちょーの新居に突撃して勝手に引き出し全部開けまくったらまさかの中身に絶句…【家賃◯◯◯万円】,3443917
2021-05-28,【閲覧注意】毛が剛毛すぎたので全部除毛したらマジでツルピカw【美脚】,5445330
2021-05-25,まるお&もふこ３歳の誕生日！３年間の全動画のかわいいシーンメドレー！,6266966
2021-05-23,【料理動画】ツイッターで11万いいねついたバターチキンカレー作ってみた！【ヒカキンTV】,2021637
2021-05-21,USJ公式から謎の超巨大ダンボール届いたので開けたら中身がまさかの…,4962345
2021-05-19,【激辛】蒙古タンメン中本 北極焼きそば 完食したらマジｵﾜﾀ＼(^o^)／,2075728
2021-05-15,【ヒカキン vs 朝倉未来】スライム4000ℓ入りリングでガチの殴り合い！まさかの結果に…【総合ルール】,3737141
2021-05-15,ヒカキン出場シーン- 超水上サバイバルオチルナ! #Shorts,1565697
2021-05-14,おうちで簡単！超激うまフレンチトースト作ったらうますぎ失神www【作り方】,2379217
2021-05-11,ウーバーイーツ頼んだら配達員がマックスむらいで涙が止まらない…【UberEats】【これが現実】,2276074
2021-05-08,【ヤンキーvs先生】ヒカキン×フォーエイトでコスプレドッジボール対決！【コナンvs犯人】【保育園児vs老人】,8236723
2021-05-06,この動画をお母さんに送ってね　#Shorts #母の日,1697223
2021-05-04,目の中にバター流し込んだら大変なことにwww,4662094
2021-05-01,兄弟で逃走中出場！ヒカキン&セイキンタッグで本気出したら奇跡が!?,3192203
2021-04-28,ヒカキン31歳、最後の日,3533851
2021-04-27,【ランキング】簡単ヨーグルトアイスで1番美味しいのは!?【ツイッターで話題】【ヒカキンTV】,4310509
2021-04-24,ロッテ パイの実 3倍と17倍比較したらデカすぎワロタwww【３倍が激レア】,1226925
2021-04-23,誕生日に1番早くLINEくれた人に電話！まさかのあの人!?!?!?,4189079
2021-04-20,中にお菓子ぎっしりの超巨大バウムークーヘンびっくりケーキタワー作ったら即崩壊www【全部超高級食材】【TikTokで話題バームクーヘンアレンジケーキ】,3595019
2021-04-17,【120個開封!?】チョコエッグ 名探偵コナン2 全種類＋シークレット出るまで終われませんw【緋色の弾丸】,2336690
2021-04-16,【大食い】20万円の金箔黄金寿司をヒカキン×仲里依紗で全部食べるまで帰れませんw【超高級】,3024223
2021-04-13,【ブチギレ】Yahoo知恵袋でヒカキン本人が回答しようとしたら質問マジひど過ぎwww,2735232
2021-04-10,【ランキング】ヒカキン&セイキンが選ぶマジでウマいカップ麺トップ５発表！【カップラーメン】,2344127
2021-04-09,超高級イチゴで本気のいちごあめ作ったらもはや宝石！【ASMR】【ヒカキンTV】【いちご飴】,3405532
