投稿日,タイトル,再生数
2021-01-05,トイレとUNKの入浴剤,424305
2021-01-03,また予防接種,691189
2021-01-01,ipadの取り合いをするあいちゃんとしーくん,340852
2020-12-30,クレーンゲームであそぶ,193965
2020-12-28,診察する,321092
2020-12-26,キッザニアクリスマスのクッキー作り,319503
2020-12-24,なかよし姉弟,315540
2020-12-22,レゴスーパーマリオであそびました！,284719
2020-12-20,クリスマスのプリンセスケーキをたべました！,530049
2020-12-18,あいちゃんしーくん溶岩からの脱出！TheFloorIsLava!,292181
2020-12-16,スイートポテト作り,294972
2020-12-14,ドーラごっこ,315147
2020-12-12,西武線ドラえもん電車の旅,401567
2020-12-10,おすもう,267487
2020-12-08,トイレトレ、成功,153450
2020-12-06,ぬいぐるみつり,162101
2020-12-04,予防接種2回目,435401
2020-12-02,あいちゃんポット,202377
2020-11-30,ブルーミーポットBlumeDoll,56539
2020-11-28,たまいれゲームであそぶ,130412
2020-11-26,足にばんそうこうを貼る,438181
2020-11-24,ニューブロックであそびました！,241740
2020-11-23,レゴタワーをつくる,641560
2020-11-21,予防接種を受ける,792411
2020-11-20,レゴで恐竜園をつくる,171719
2020-11-18,小松沢レジャー農園KomatsuzawaFarm,736506
2020-11-16,ハッピーセットリカちゃん第2弾,121236
2020-11-14,ハッピーセットプラレール第2弾,92491
2020-11-13,しーくん機嫌が悪い,117569
2020-11-11,東京ディズニーランドにいきました！2020年11月,145122
2020-11-09,ハッピーセットリカちゃん第1弾,433190
2020-11-07,ハッピーセットプラレール第1弾,180420
2020-11-05,クリーパー団子MinecraftCreeperDumplings,871225
2020-11-03,おしりたんてい・いいおしりの日お祝いイラストを描こう！,658286
2020-11-01,あいちゃん英語と漢字のおべんきょうチャレンジタッチ1年生（年長）小学生向け通信教育（進研ゼミ小学講座）タブレット学習新1年生（年長）,243137
2020-11-01,リズモを育てるあいちゃんとしーくん,181884
2020-10-30,おうちでおばけ屋敷,135707
2020-10-29,キッザニア料理教室で干支おはぎ作り,144617
2020-10-27,しーくんポニョを診察する,459988
2020-10-25,キッザニアパフェ作りMakingSundae,137978
2020-10-23,マインクラフト実写版お風呂にクリーパー！RealLifeMinecraft,1016193
2020-10-21,キッザニア新生児室で赤ちゃんのお世話Nursery,380532
2020-10-20,あいちゃん、しーくんを診察する,277918
2020-10-19,キッザニアサッカー体験SoccerStadium,361521
2020-10-18,あいちゃんしーくんをコショコショする,257008
2020-10-17,キッザニアハンバーガーを作るMakingHamburger,172310
2020-10-16,月見団子を作って食べる,549223
2020-10-15,マインクラフトあいちゃんのサバイバル生活#3,66966
2020-10-13,アンパンマンクレーンキャッチャー,254151
2020-10-10,粘土でマインクラフトMinecraftCharactersMadeFromClay,93122
2020-10-08,キッザニア鉄道作業員のお仕事KidzaniaMetroRailwayWorker,106202
2020-10-06,キッザニアソフトクリーム屋さんKidzaniaSoftIceCreamShop,260148
2020-10-03,ももこの部屋にGKBRが出る,1003150
2020-10-01,キッザニアピザ職人のお仕事KizaniaPizzaChef,238378
2020-09-29,ハッピーセットジュラシック・ワールド第2弾,278103
2020-09-26,キッザニアクロネコヤマト宅急便のお仕事KidzaniaDeliveryService,190679
2020-09-24,キッザニア消防士のお仕事KidzaniaFirefighter,228927
2020-09-21,ハッピーセットジュラシック・ワールド第1弾,176634
2020-09-19,プールでハルクをやっつけろ！,547863
2020-09-17,マリオオデッセイせんもも実況を見るあいちゃんしーくん,453932
2020-09-15,カブト・クワガタふれあいの森inお台場に行きました！,675239
2020-09-12,プールでパンダ男をやっつけろ！,325881
2020-09-10,カニ釣りに行きました！,230550
2020-09-08,プールであそぼう！赤海坊主をやっつけろ！,291585
2020-09-05,上野動物園に行きました！,423444
2020-09-02,野島公園で磯遊び,270722
2020-08-31,チャレンジタッチ1年生でおべんきょうしました！　小学生向け通信教育（進研ゼミ小学講座）タブレット学習新1年生（年長）,1545951
2020-08-28,おしりたんていごっこかいとうUからクッキーを取り戻せ！,369689
2020-08-26,プールで海賊ごっこ海坊主をやっつけろ！,151054
2020-08-24,セミの羽化を観察しました,149107
2020-08-22,すみだ水族館にいきました！,164265
2020-08-21,かき氷をたべるあいちゃんしーくん,106622
2020-08-19,しーくん耳かき,473416
2020-08-17,セミとカマキリをつかまえる,197119
2020-08-15,こびとづかんカフェ＆ショップにいきました！,232388
2020-08-12,干潟で遊ぶあいちゃんとしーくん,367361
2020-08-10,ヘッドバンギングするあいちゃんしーくん,465811
2020-08-09,マインクラフトあいちゃんのサバイバル生活#2,82338
2020-08-08,スライムあそびSlimeToy,836846
2020-08-06,マインクラフトダンジョンズごっこ,169240
2020-08-04,『映画おしりたんていテントウムシいせきのなぞ』試写会にいきました！,626811
2020-08-03,そうめんスライダーで流しそうめんをたべました！,622525
2020-08-02,マインクラフトあいちゃんのサバイバル生活#1,64649
2020-07-31,Minecraftケーキでおたんじょうびおめでとう！HappyBirthdayAi-chan!!,166054
2020-07-29,干潟で泥遊び。カニ捕まえました,287714
2020-07-27,寿司アプリであそぶしーくん,122849
2020-07-24,カラフルゼリー風呂であそびました！,93052
2020-07-22,しながわ水族館に行きましたShinagawaAquarium,88964
2020-07-20,お化粧ごっこ,51720
2020-07-17,あいちゃん歯が抜ける2本目,140426
2020-07-15,しーくんてんとうむしをさわる,407978
2020-07-13,東京ディズニーランドにいきました！2020年7月,116532
2020-07-10,おふろでカラフルタピオカをつくろう,128154
2020-07-08,あいちゃんのしつもんコーナー,71039
2020-07-06,潮干狩りに行きましたClamming,113170
2020-07-04,おふろでカラフルジュース屋さんごっこ,119681
2020-07-02,恐竜ホテルに泊まるせんももあいしーDinosaurHotel,67123
2020-06-30,せんももあいしー東京ディズニーシー動画まとめ2013〜2019,104649
2020-06-27,マインクラフトダンジョンズごっこPretendPlayMinecraftDungeons,4305744
2020-06-25,あいちゃん涙のプリン作りMakingPudding,155159
2020-06-23,せんももあいしー東京ディズニーランド動画まとめ2013〜2018,103637
2020-06-19,デジモンアドベンチャーアフレコチャレンジ！,114668
2020-06-18,粘土で歯医者さんごっこPretendPlayDentist,73182
2020-06-16,アニアビッグフォールマウンテンでナイトサファリごっこ,37932
2020-06-12,抹茶フラペチーノをつくろう！GreenTeaFrappuccino,65355
2020-06-11,ゾンビきかんしゃをやっつけろ！,61441
2020-06-09,蝶ハンターせんのすけ,71167
2020-06-06,あいちゃんマヨネーズを作るMakingMayonaise,64126
2020-06-05,デジモンのぬりえをしました！,543247
2020-06-03,おふろでアイスクリーム屋さんごっこ,97269
2020-06-01,アニアビッグフォールマウンテンであそぶあいちゃんしーくん,60613
2020-05-30,トカゲハンターせんのすけCatchingLizards,44267
2020-05-27,みんなでザリガニ釣りリベンジ編,61225
2020-05-24,消防車ケーキでおたんじょうびおめでとう！HappyBirthday!!,99187
2020-05-22,あいちゃんオニオングラタンスープをつくる,77117
2020-05-20,マシュマロキャッチゲーム,61474
2020-05-18,しーくんをちゅー責め,42220
2020-05-15,きかんしゃドライブスルーごっこSteamTrainDrive-ThruPlay,73188
2020-05-13,みんなでザリガニ釣り,62657
2020-05-11,あいちゃんてんとう虫にビビる,97972
2020-05-09,泡風呂でアワアワマンごっこ,51437
2020-05-07,=3=3ラジコンでケイドロごっこ！,160708
2020-05-05,ハッピーセットトミカ恐竜運搬車にしーくん大興奮！,94653
2020-05-03,らくやきマーカーで母の日のプレゼントをつくろう！,258928
2020-05-02,おふろの入浴剤を作ろう！DIYBathBombs,48700
2020-05-01,ふわふわパンケーキやさん,40950
2020-04-29,まとあて遊びをするあいちゃんとしーくん,55273
2020-04-27,泡のお風呂であそぶあいちゃんとしーくん,57094
2020-04-25,おしりたんていププッとストアに行く,48504
2020-04-24,飛行機のみえる公園であそぶせんももあいしー,74167
2020-04-23,あいちゃんとしーくん電車ごっこ,57626
2020-04-22,あいちゃんとしーくんカブトムシロボであそぶ,57264
2020-04-20,つかめるふしぎ玉をつくろう！,146918
2020-04-18,しーくんミニバイクに乗る,91384
2020-04-17,粘土でラーメン屋さんごっこ！PretendPlayRamenRestaurant,54803
2020-04-16,アンパンマンどこでもシャワーAnpanmanShowerToy,50478
2020-04-14,おもしろアプリであそぼう！FunnyAppsForKids,40249
2020-04-12,いちご狩り2020StrawberryPicking,49442
2020-04-11,カブトムシロボであそぼう！相撲編,58681
2020-04-10,カブトムシロボであそぼう！迷路編,55103
2020-04-08,おしりたんていもこもこ不思議な入浴剤,54154
2020-04-06,ヘビにエサやりごっこ遊び,58512
2020-04-04,あいちゃん歯が抜ける,117209
2020-04-03,どうぶつの森ごっこPretendPlayAnimalCrossing,67486
2020-03-31,あいちゃんまとめを見るあいちゃんとしーくん,138318
2020-03-30,DJマロンとMCズイミーを見るあいちゃんとしーくん,66663
2020-03-28,あいちゃん電車で絶叫ツアー！,61332
2020-03-26,水鉄砲で妖怪Yメダルをゲットしよう！,51641
2020-03-25,おしりたんていのぬりえであそぼう！,105681
2020-03-23,おしりたんていププッとみずでっぽうであそぼう！,66003
2020-03-22,あつまれどうぶつの森であそぶももことあいちゃん,61039
2020-03-21,ダンボールカーであそぶももあいしー,60859
