投稿日,タイトル,再生数
2020-10-17,内緒で教える【カルビー】裏メニューカラムーチョ亜種にニラぶっかけ美味極まるMAJIDE,11900
2020-10-16,世界で一番巨大なプレステ5を買ったら悪霊に取り憑かれたMAJIDE,10200
2020-10-15,転売専用PlayStation5プレイステーション5で思いっきり遊んでみたMAJIDE,21174
2020-10-14,日本史上最高の美女に迫る悪の魔の手,14118
2020-10-13,24時間ブリーチをしたら衝撃の髪の色になったぜMAJIDE,18828
2020-10-12,【絶対するなよ】究極の七三分けを施術することで人生崩壊の序曲が聞こえるか？,12972
2020-10-11,懺悔、後悔、失敗の生放送だぜMAJIDE,13242
2020-10-10,サッポロビール園でRaMuちゃんが大好きだぜMEGWIN,17304
2020-10-10,世界たったⅠ台本ワニ革使用のオートバイだぜトライアンフMAJIDE,9333
2020-10-09,マネージャー失格3000万回の動画消されたドッキリガチっぽいMAJIDE,13017
2020-10-08,おごってと言われた奴に着いていくMAJIDE,8764
2020-10-07,ハゲ増す禿増す剥げます励ませバカヤローMAJIDE,12384
2020-10-06,闇のゲーム★顔面に超巨大蜘蛛を乗せて何秒耐えられるかゲーム,11873
2020-10-05,タニタ社長にドッキリを仕掛けてヒヤヒヤししてやったぜMAJIDE,11150
2020-10-04,リアルに痛いかめはめ波を打つたった１つの方法だぜMAJIDE,12487
2020-10-03,20歳ロリ美人YouTuberが原宿を目立ちすぎる格好で歩いているから注意したぜMAJIDE,12587
2020-10-02,もう限界近い休みが欲しいぜMAJIDE,20662
2020-10-01,誰か草刈りを手伝って秋のBBQ大会開催【バーベキュー】一緒に食べようぜMAJIDE,17889
2020-09-30,爆竹をガムテープでぐるぐる巻にすれば煩くない説,18746
2020-09-29,軽トラで車中泊しようとしている人はヤバいぜMAJIDE,94020
2020-09-28,サラリーマンは気楽な家業ときたもんだぜMAJIDE,16110
2020-09-27,本当の勇気見せてくれたらロマンチックあげるよMAJIDE,10197
2020-09-26,隕石を金魚網で掬って地球を救った男の物語だぜMAJIDE,11359
2020-09-25,しゃぼん玉１００連発で目の中に完全的中だぜMAJIDE,8121
2020-09-24,美少女から美女に変身した後輩の体を揉みしだきたく候だぜMAJIDE,19642
2020-09-23,走る家2200万円のバイクに社長に内緒で指紋まみれにしてやったぜMAJIDE,18323
2020-09-22,髭にブリーチはめっちゃ痛いぜMAJIDE,16144
2020-09-21,無料メンズエステどんな剛毛でも15秒でピッカピカだぜMAJIDE,11705
2020-09-20,爆煙系ベイプで霧隠れの忍術を簡単に会得できるぞMAJIDE,13943
2020-09-19,激安いくら丼を腹いっぱい食うたった一つの方法,23042
2020-09-18,【クレイジータクシー】東京から1号線を暴走するハズだった、今では後悔しているMAJIDE【ゲームオーバー】,7873
2020-09-17,大井の帝王生きるレジェンド的場文男ジョッキーとオレの9月の目標だぜMAJIDE,7132
2020-09-16,ドラゴンボールを探してたらピッコロさんのバンダナ拾ったぜMAJIDE,9687
