投稿日,タイトル,再生数
2021-04-14,「東大王新シーズン&早押しを解説！」東大王解説ライブ（4月14日回）,85098
2021-04-14,【告知】QuizKnock監修の新しい書籍が発売されます！！,86341
2021-04-10,【ドッキリ検証】過去に自分が出したクイズ間違えない説,913491
2021-04-09,【え、むずくね】東大流の言葉遊び！五十音で文章作れ,897845
2021-04-07,東大王新シーズン&早押しを解説！東大王解説ライブ,154878
2021-04-07,【コラボ】ジャルジャルのコント見てタイトル当てられる奴０人説,912695
2021-04-05,知らない料理でも東大クイズ王なら推測で作れるのか？,879818
2021-04-02,40秒クイズ大会 #Shorts,497861
2021-03-31,東大生なら目と耳と手と足で別々のことできる説,517616
2021-03-30,東大生ら10人で朝からそれ正解！【#20】,1184314
2021-03-27,東大生ら10人で朝からそれ正解！【#19】,1105789
2021-03-26,【検証】面接官のイジワルな質問に東大生は何と答えるのか？,2708813
2021-03-24,年金について日本一わかりやすく説明しようとしたらこうなった,726948
2021-03-22,40秒クイズ大会 #Shorts,984166
2021-03-19,揃えて読んではじめて1点！神々の遊び作り出しました【漢字王vsパズル王】,1525160
2021-03-17,何個答えてもよければどれか当たるっしょ,1224978
2021-03-15,答え見ないで正解判定するのめっちゃ大変なんですけど,1342685
2021-03-13,【ゲーム実況】豆知識だらけの東大桃鉄！,1286395
2021-03-12,【知恵袋】東大生が本気でベストアンサー狙ってみた,1902868
2021-03-11,【おめでとう！】合格した君へ。伊沢からのメッセージ,287683
2021-03-11,浪人する君へ。須貝からのメッセージ,402728
2021-03-09,【超高速謎解き】ふくらPがいれば1問6秒で解けちゃうんだから！【諦めないで！】,1350180
2021-03-09,QuizKnock監修のブロックゲーム発売！！,244803
2021-03-06,【東大対決】旋律を聞き取れ！絶対音感クイズ！,902755
2021-03-05,【全員東大】ネプリーグ風クイズ！10問正解できるか…？,790634
2021-03-04,【協力プレイ】問題文の一部だけ聞いて全員で正解せよ！,3041254
2021-03-02,Q.この動画にはある違和感があります。それは何？,675617
