投稿日,タイトル,再生数
2019-03-27,壁から生える握手できる石鹸の作り方,5206393
2019-03-24,【第一回セイキンの日常】新次元ロボットを買ってしまいました。,496897
2019-03-20,マクドナルドのドリンクマシンを入手したのでジュース作ります！,4279623
2019-03-17,魔法の瓶にSeikinTVの歴史を詰め込んでみた。,847480
2019-03-15,【ヒカキン VS セイキン】知識ゼロの二人がベイブレードバトルするとこうなりますwww,3551523
2019-03-12,"1粒2,000円の金箔入りぷよぷよ石鹸がもはや宝石。",3518885
2019-03-08,歯ブラシで包丁作ろうとしたら大苦戦www,639926
2019-03-02,冷めたマックフライポテト、捨ててませんか？,1731374
2019-02-28,【アカペラ】超ミニサイズのラジカセで声を重ねて歌を作るのが難しすぎた。【ヒカキン & セイキン】,2689330
2019-02-23,クレーンゲーム2万円分やったら何個とれんの？,1503466
2019-02-22,ここいらで最強のとうもろこしカッター決めようや。,2396820
2019-02-16,50年前の手動式ポップコーンマシンでポップコーンを作る！,1449092
2019-02-14,ジョイを混ぜると2層に分かれて芸術品になります。,1148790
2019-02-09,ベビーカーが3台になった理由をお話しします。,1734595
2019-02-05,【新感覚】焼けたら勝手に出てくる業務用串焼きマシン「でるでる棒PRO」で大苦戦www,2150530
2019-02-01,【公式】毒を盛られたことに気づいたセイキン,6527586
2019-01-30,【動け】50年前のおもちゃのオーブンでケーキは焼けるのか。,2616347
2019-01-26,世界に一つだけのチョコパレット作りました。,3644888
2019-01-23,じゃがいもにメイクしてみた。,589256
2019-01-19,食券機作ってみたwww【せいちゃん食堂】,3435395
2019-01-17,肉巻きバウムクーヘンってマジかよおい。,1126105
2019-01-14,50年前のオモチャでハンバーガーは作れるのか？【第二弾】,1076044
2019-01-11,料理？いえ、スプーンで作るスライムです。,3813542
2019-01-08,ヒカキン、新型デコピンマシンでとんでもない記録を叩き出してしまう。【フィンガーハンマーキング】,5764766
2019-01-05,チビキン、人生初の雪。,1095973
2019-01-01,【元日】開幕！全日本雪飛び込み2019！！最高のスタートを切ります。【ヒカキン & セイキン】,1950377
2018-12-31,史上最大級の超巨大チョコベア作って2018年を締めくくる。,1716511
2018-12-30,ついに解禁する時がやってきたようです。,1188418
2018-12-28,【激レア】50年前のオモチャで高級ステーキを焼く！！,7355123
2018-12-25,【悲報】ヒカキンから大量の家具が送られてきてリビング終了。謎のダンボール開封します！！,7273830
2018-12-24,セイキン、2つ目の家を借りました！新居公開！！,2205930
2018-12-22,【悲報】セイキン、手首を負傷して病院行きに。,1098443
2018-12-17,ミスドのドーナツ冷凍しても凍らない説。,910321
2018-12-14,【世界初！ペヤング専用】焼きペヤングメーカー発売まで待てないので自分で作っちゃいます。【待てない男】,927828
2018-12-11,えのき栽培したはずがなんか違う。。。,996699
2018-12-07,【不思議】スピーカーのないところから音が聞こえるBOSE史上最高のスピーカーがスゴすぎる。。。,863832
2018-12-05,焼きチョコバナナ作ったら衝撃のウマさだったwww,1566912
2018-12-01,心霊調査したらヒカキン宅に霊が出てしまいました。。。,9980076
2018-11-30,手をかざすだけで自由自在に空を飛ぶ未来のマシンがスゴすぎる。。。,463595
2018-11-22,専用マシン誕生により究極のTKGNTO(卵かけ納豆)ご飯ついに完成www,1131675
2018-11-17,塊肉回転炙り焼きマシンで高級肉を焼く！！,1602354
2018-11-14,今 / ヒカキン & セイキン 作曲シーン【メイキング】,4241355
2018-11-13,今 / ヒカキン & セイキン Live 〜U-FES.2018 Premium Stage〜,6001691
2018-11-09,今 / ヒカキン & セイキン,51473365
2018-11-06,部屋でしいたけが大量発生しました。,2069582
2018-11-05,今 / ヒカキン & セイキン【予告編】,515438
2018-10-29,燻製マシンで緊急事態発生。,1146995
2018-10-26,セイキン、ペットを飼う。,1996449
2018-10-25,大人が全力で新作ハッピーセット「スーパーマリオ」全種類集めてみた。,2682717
2018-10-21,東京大学が作ったエナジー系食品シリーズが未来。,347907
2018-10-19,新型バスボム製造機でバスボム製造開始します。,3374488
2018-10-17,柿の種をふりかけにしてしまう『亀田の柿の種専用ふりかけマシン』爆誕www,598202
2018-10-13,オムレツ専用マシンで作ったオムレツがプロすぎるwww,1933418
2018-10-11,【史上初】ゆで卵ガチャ登場www,882991
2018-10-08,【衝撃】セイキン、ついにチョークを食べる。,3424596
2018-10-05,【長編】ヒカキン & セイキンで本当の無人島に行ったら謎の巨大卵を発見！！,10554353
2018-10-02,【入手困難】人類史上初、たわし耳かき。,1405640
2018-09-29,YouTuberだらけの遊園地で遊びまくり！！【U-FES.遊園地】,2412124
2018-09-26,バケツ！？いえ、ポップコーンマシンです。,569055
2018-09-23,完全オフモードのヒカキンをiPhone XSで突然撮影するとどうなるのか？www【in 新潟】,1474260
2018-09-20,素人が24時間魚釣りしたら何匹釣れるかやったらまさかの獲物が・・・,675847
2018-09-17,お餅専用削り器でお餅を粉々に削ってたこ焼き器で焼いてモチボールを作る！！,1482801
2018-09-15,お餅を1mmにスライスしてお菓子にできてしまうお餅専用カッターが凄すぎる。,5012189
2018-09-12,家にドラえもんのUFOキャッチャーがやってきました！！,2168726
2018-09-09,【ガシャガシャ対決】鈴を回すと四次元ポケットからひみつ道具が出てくるガシャガシャドラえもんで対決！！,285055
2018-09-07,【手作り】セイキンTシャツをチビキンサイズに作り変える！！,712749
2018-09-02,夏風邪をひいたのでサプリでビタミン摂ろうとしたら中身全部本物のお刺身でした。,858864
2018-08-30,【初登場】チョコエッグ ワンピース 120個開封！！全種類揃えて海賊王にオレはなる！,2568819
2018-08-29,生き物のように動く不思議な石 キネティックロックがスゴイ。。。Kinetic Rock,1994556
2018-08-25,【難問】チビキンをビートボックスで笑わせるまで終われませんwww【ヒカキン & セイキン】,3533893
2018-08-22,【復活】業務用マシンでトンデモ揚げ餃子作り！！！！！,1093193
2018-08-20,親子三人の手形キーホルダー作ります！【セイキン、ポンちゃん、チビキン】,2628282
2018-08-17,うんこ消しゴムのシークレットが欲しい男の物語。,3939189
2018-08-15,インクを調合して絵文字スタンプ作ります。,1291877
2018-08-13,特殊粘土でチビキンの手形足形とりに再挑戦！！,5594492
2018-08-11,コンビニで引けるユーチューバーのくじを夫婦で5回ずつ引いたらポンちゃんの神引き！？【セイキン & ポンちゃん】,1115196
2018-08-08,【公式】ヒカキン & セイキン / YouTubeテーマソング - 雑草 メドレー［U-FES.Music ver.］2018,3583000
2018-08-07,切ると食べ物の味が変わる究極の鋼で作られた包丁がスゴすぎる。。。,2022417
2018-08-04,【夫婦で】相手を褒めると攻撃できるトントンボイス相撲やったら爆笑www【セイキン & ポンちゃん】,865167
2018-08-02,色を調合してペンを作れるペン製造マシンがスゴかった。。。,3656032
2018-07-30,ポンちゃんに誕生日パーティーの準備してもらったらこうなりました。,2117398
2018-07-28,ポンちゃんが渋谷でユーチューバーグッズ大量に買ってきましたwww,1177411
2018-07-25,自分で言うのもアレなんですが、オレたちの料理がウマすぎる。【ヒカキン & セイキン】,1946711
2018-07-23,超簡単にスライムが作れるスライム製造マシン「スライムファクトリー」Slime Factory,2349493
2018-07-21,チビキンの手形&足形を取るのが難しすぎたwww,2683244
2018-07-17,おっとっと大量に買って激レアおっとっと探し出します。,1133205
2018-07-11,【難問】知識ゼロの素人が何も見ずに黒豚パズル完成させるまで終われません。。。,2548314
2018-07-08,【大量購入】今回のハッピーセットはポケモン！え？もちろん全種類集めます。【劇場版ポケットモンスター みんなの物語】,2084349
2018-07-06,世界最小にして世界最大のそうめんスライダーが完成しました。,2894033
2018-07-02,YouTubeから銀の再生ボタンもらってないので自分で純銀の再生ボタン作ります。,3799022
2018-06-29,セイキン、ついにうんち120個水に溶かす。,7185677
2018-06-24,【総額60万円】セイキン、超激レアの純金ピカチュウを衝動買いしてしまう。【ポケモン / Pokémon】,809708
2018-06-23,セイキン & ポンちゃん、メルカリに大量出品する。,880500
2018-06-21,ヒーター機能搭載のハイテクかき氷マシンでガリガリ君をフワフワ君へ作り変えることに成功しました。,1381220
2018-06-16,大人用流しそうめんスライダーの機能がスゴイwww,3047259
2018-06-13,チョコエッグ ディズニー ツムツム100個開封したらシークレット何個出るの！？,1350652
2018-06-11,「ハッピーセットぐでたま」はギミックつき！これは全種類集めるしかないでしょ！！【マクドナルド】,1384594
2018-06-08,ポンちゃんがチビキンに買ったモノが独特すぎたwww,2419412
2018-06-06,最近の雪見だいふく公式メニューが攻めすぎている件www,919456
2018-06-03,一番くじ ドラゴンボール！全部当たるまで引いたらすごい数に。。。,564109
2018-06-01,それは、とても小さな勉強用掃除機。,770482
2018-05-30,【純銀99.9%】自分でガチの指輪作ってポンちゃんにプレゼントした結果【ペアリング】,3142025
2018-05-26,ポテトチップス好きな人、いらっしゃい。,619870
2018-05-22,今回のハッピーセット、ぬいぐるみなの！？全種類ゲットしましょう！！【マクドナルド】,1363567
2018-05-20,ゴミが1/3に減るゴミ箱！？マジかよ。,2416293
2018-05-18,最新式のダーツ連射マシンで連射バトルしたらスゴかったwww【ヒカキン VS セイキン】,4381477
2018-05-17,ミント嫌いでも美味しく食べられるチョコミント菓子探します。,1207023
2018-05-14,どんな食べ物も砂糖かけて1300℃で焦がせば美味しくなる説【セイキン & ポンちゃん】,1711135
2018-05-11,【超ハイテク】未来の南京錠は持ち主なら手を触れることなく開けられます。,1309944
2018-05-08,【大ショック】業務用超音波洗浄機で洗浄したらロレックス デイトナ、壊れた。。。,1222342
2018-05-05,業務用の超音波洗浄機でお金洗浄したらキレイになるのか。,2249273
2018-05-02,チビキンのためにこのマシンを買いました。,1350273
2018-05-01,【全長5.7m】史上最大のそうめんアドベンチャーがデカすぎてもはや家庭用の次元を超えているwww,3206733
2018-04-28,【未来】一度買えば永遠に使える無限ノートがガチだった。,3780445
2018-04-27,"【約4,180粒】M&M’Sだけで作った超巨大アートがガチで芸術品www",2634855
2018-04-26,ヒカキンとマスオにいきなりセイキンの新作LINEスタンプ連打したらスタンプバトル勃発www,2897571
2018-04-22,新車購入！！ヒカキン & セイキン 東京ドライブ！ 新型レクサス LS500h,9504546
2018-04-19,SeikinTVチャンネル登録者数300万人突破するまで寝られませんwww,533774
2018-04-17,ベビーカー & ベビーベッド 組み立てで大苦戦【パパの仕事】,2532681
2018-04-13,セイキン、父になりました。,5121763
2018-04-11,【セレブ】大理石の上でアイスを作る時代がやってきました。,1448213
2018-04-09,【ケンタッキー】ワッフルを2枚の肉で挟むという衝撃メニュー再現してみた結果・・・【カナダ限定】,663821
2018-04-07,マクドナルドでスピードくじやってるだとぉ！？当ててやんよ！！,640992
